cluster,structure_name,initial_distance_A,charge,multiplicity,method,basis,total_energy_Eh,relative_energy_eV,terminated_normally,scf_converged,has_imaginary_frequencies,number_of_imaginary_frequencies,min_real_frequency_cm-1,number_of_vibrational_modes,optimized_xyz_path,output_path
B12,distorted_icosahedron_02,3.0,0,1,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/distorted_icosahedron_02/d_3.0/mult_1/output.out
B12,distorted_icosahedron_02,3.0,0,3,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/distorted_icosahedron_02/d_3.0/mult_3/output.out
B12,distorted_icosahedron_02,3.0,0,5,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/distorted_icosahedron_02/d_3.0/mult_5/output.out
B12,distorted_icosahedron_02,3.5,0,1,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/distorted_icosahedron_02/d_3.5/mult_1/output.out
B12,distorted_icosahedron_02,3.5,0,3,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/distorted_icosahedron_02/d_3.5/mult_3/output.out
B12,distorted_icosahedron_02,3.5,0,5,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/distorted_icosahedron_02/d_3.5/mult_5/output.out
B12,distorted_icosahedron_02,4.0,0,1,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/distorted_icosahedron_02/d_4.0/mult_1/output.out
B12,distorted_icosahedron_02,4.0,0,3,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/distorted_icosahedron_02/d_4.0/mult_3/output.out
B12,distorted_icosahedron_02,4.0,0,5,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/distorted_icosahedron_02/d_4.0/mult_5/output.out
B12,distorted_icosahedron_02,4.5,0,1,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/distorted_icosahedron_02/d_4.5/mult_1/output.out
B12,distorted_icosahedron_02,4.5,0,3,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/distorted_icosahedron_02/d_4.5/mult_3/output.out
B12,distorted_icosahedron_02,4.5,0,5,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/distorted_icosahedron_02/d_4.5/mult_5/output.out
B12,distorted_icosahedron_02,5.0,0,1,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/distorted_icosahedron_02/d_5.0/mult_1/output.out
B12,distorted_icosahedron_02,5.0,0,3,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/distorted_icosahedron_02/d_5.0/mult_3/output.out
B12,distorted_icosahedron_02,5.0,0,5,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/distorted_icosahedron_02/d_5.0/mult_5/output.out
B12,icosahedron,2.0,0,1,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/icosahedron/d_2.0/mult_1/output.out
B12,icosahedron,2.0,0,3,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/icosahedron/d_2.0/mult_3/output.out
B12,icosahedron,2.0,0,5,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/icosahedron/d_2.0/mult_5/output.out
B12,icosahedron,2.5,0,1,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/icosahedron/d_2.5/mult_1/output.out
B12,icosahedron,2.5,0,3,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/icosahedron/d_2.5/mult_3/output.out
B12,icosahedron,2.5,0,5,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/icosahedron/d_2.5/mult_5/output.out
B12,icosahedron,3.0,0,1,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/icosahedron/d_3.0/mult_1/output.out
B12,icosahedron,3.0,0,3,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/icosahedron/d_3.0/mult_3/output.out
B12,icosahedron,3.0,0,5,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/icosahedron/d_3.0/mult_5/output.out
B12,icosahedron,3.5,0,1,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/icosahedron/d_3.5/mult_1/output.out
B12,icosahedron,3.5,0,3,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/icosahedron/d_3.5/mult_3/output.out
B12,icosahedron,3.5,0,5,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/icosahedron/d_3.5/mult_5/output.out
B12,icosahedron,4.0,0,1,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/icosahedron/d_4.0/mult_1/output.out
B12,icosahedron,4.0,0,3,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/icosahedron/d_4.0/mult_3/output.out
B12,icosahedron,4.0,0,5,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/icosahedron/d_4.0/mult_5/output.out
B12,icosahedron,4.5,0,1,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/icosahedron/d_4.5/mult_1/output.out
B12,icosahedron,4.5,0,3,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/icosahedron/d_4.5/mult_3/output.out
B12,icosahedron,4.5,0,5,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/icosahedron/d_4.5/mult_5/output.out
B12,icosahedron,5.0,0,1,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/icosahedron/d_5.0/mult_1/output.out
B12,icosahedron,5.0,0,3,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/icosahedron/d_5.0/mult_3/output.out
B12,icosahedron,5.0,0,5,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/icosahedron/d_5.0/mult_5/output.out
B12,random_3d_01,2.0,0,1,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/random_3d_01/d_2.0/mult_1/output.out
B12,random_3d_01,2.0,0,3,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/random_3d_01/d_2.0/mult_3/output.out
B12,random_3d_01,2.0,0,5,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/random_3d_01/d_2.0/mult_5/output.out
B12,random_3d_01,2.5,0,1,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/random_3d_01/d_2.5/mult_1/output.out
B12,random_3d_01,2.5,0,3,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/random_3d_01/d_2.5/mult_3/output.out
B12,random_3d_01,2.5,0,5,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/random_3d_01/d_2.5/mult_5/output.out
B12,random_3d_01,3.0,0,1,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/random_3d_01/d_3.0/mult_1/output.out
B12,random_3d_01,3.0,0,3,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/random_3d_01/d_3.0/mult_3/output.out
B12,random_3d_01,3.0,0,5,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/random_3d_01/d_3.0/mult_5/output.out
B12,random_3d_01,3.5,0,1,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/random_3d_01/d_3.5/mult_1/output.out
B12,random_3d_01,3.5,0,3,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/random_3d_01/d_3.5/mult_3/output.out
B12,random_3d_01,3.5,0,5,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/random_3d_01/d_3.5/mult_5/output.out
B12,random_3d_01,4.0,0,1,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/random_3d_01/d_4.0/mult_1/output.out
B12,random_3d_01,4.0,0,3,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/random_3d_01/d_4.0/mult_3/output.out
B12,random_3d_01,4.0,0,5,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/random_3d_01/d_4.0/mult_5/output.out
B12,random_3d_01,4.5,0,1,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/random_3d_01/d_4.5/mult_1/output.out
B12,random_3d_01,4.5,0,3,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/random_3d_01/d_4.5/mult_3/output.out
B12,random_3d_01,4.5,0,5,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/random_3d_01/d_4.5/mult_5/output.out
B12,random_3d_01,5.0,0,1,PBE0,def2-SVP,,,False,False,False,0,,0,,calculations/B12/random_3d_01/d_5.0/mult_1/output.out
